epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,164.265,1.36994,0.70751,1.17345,0.93785,0.6509,0.81257,0.51679,1.37251,0.99837,1.2451,0.0011882,0.0011882,0.0011882
43,168.023,1.35971,0.71095,1.18323,0.93437,0.66996,0.80722,0.5106,1.38157,1.05222,1.25431,0.0011684,0.0011684,0.0011684
44,171.74,1.31222,0.72546,1.16426,0.91418,0.67059,0.77608,0.46413,1.468,1.142,1.29283,0.0011486,0.0011486,0.0011486
45,175.453,1.36443,0.73734,1.184,0.91703,0.63922,0.76667,0.46663,1.42563,1.10001,1.27708,0.0011288,0.0011288,0.0011288
46,179.195,1.31982,0.69304,1.16363,0.91304,0.67451,0.79817,0.49568,1.36755,1.00087,1.24098,0.001109,0.001109,0.001109
47,182.92,1.3322,0.70668,1.18743,0.93427,0.67843,0.81328,0.48526,1.45194,1.07712,1.27253,0.0010892,0.0010892,0.0010892
48,186.647,1.27069,0.67627,1.16621,0.8576,0.68627,0.79831,0.50425,1.35318,1.06855,1.23484,0.0010694,0.0010694,0.0010694
49,190.348,1.28777,0.65198,1.16721,0.85299,0.67451,0.7998,0.51583,1.31815,1.07927,1.21796,0.0010496,0.0010496,0.0010496
50,194.101,1.30059,0.6988,1.16087,0.93296,0.65492,0.78402,0.50246,1.32608,1.16063,1.2173,0.0010298,0.0010298,0.0010298
51,197.86,1.25935,0.66223,1.15483,0.87135,0.67451,0.77732,0.50163,1.29313,1.05399,1.21094,0.00101,0.00101,0.00101
52,201.644,1.2871,0.67192,1.15369,0.94541,0.67918,0.80077,0.51541,1.31935,1.04788,1.22134,0.0009902,0.0009902,0.0009902
53,205.549,1.29498,0.6677,1.15481,0.92638,0.69412,0.78858,0.51226,1.32005,1.10055,1.20993,0.0009704,0.0009704,0.0009704
54,209.281,1.25936,0.67121,1.13672,0.93422,0.69412,0.79483,0.51254,1.29037,1.04803,1.19789,0.0009506,0.0009506,0.0009506
55,213.015,1.23189,0.63227,1.13496,0.87565,0.64706,0.79367,0.50521,1.35476,1.0373,1.21762,0.0009308,0.0009308,0.0009308
56,216.77,1.20949,0.63448,1.12029,0.90551,0.67643,0.77668,0.5015,1.31577,1.11545,1.21942,0.000911,0.000911,0.000911
57,220.472,1.24845,0.6691,1.13818,0.90469,0.67002,0.79522,0.52394,1.33293,1.16637,1.2247,0.0008912,0.0008912,0.0008912
58,224.199,1.22275,0.63739,1.11666,0.92586,0.63664,0.77784,0.51457,1.30572,1.13182,1.20854,0.0008714,0.0008714,0.0008714
59,227.942,1.20842,0.6051,1.13087,0.94691,0.67059,0.79731,0.53119,1.30377,1.19066,1.21112,0.0008516,0.0008516,0.0008516
60,231.679,1.21575,0.62174,1.12971,0.88195,0.6902,0.7935,0.52054,1.30349,1.1039,1.20735,0.0008318,0.0008318,0.0008318
61,235.393,1.23757,0.61685,1.14434,0.91942,0.67119,0.78326,0.52129,1.26846,1.13993,1.20324,0.000812,0.000812,0.000812
62,239.147,1.21092,0.62485,1.10559,0.86033,0.68235,0.76644,0.5086,1.26786,1.1814,1.20175,0.0007922,0.0007922,0.0007922
63,242.903,1.23988,0.62947,1.1229,0.9128,0.65684,0.77779,0.53332,1.23771,1.18711,1.18099,0.0007724,0.0007724,0.0007724
64,246.655,1.1808,0.58945,1.10156,0.83124,0.68235,0.74993,0.49375,1.30787,1.17466,1.21306,0.0007526,0.0007526,0.0007526
65,250.407,1.21343,0.60204,1.11535,0.85228,0.65098,0.74339,0.49664,1.27192,1.13878,1.19709,0.0007328,0.0007328,0.0007328
66,254.285,1.17445,0.60151,1.10719,0.87539,0.66667,0.74255,0.50001,1.27616,1.18397,1.19812,0.000713,0.000713,0.000713
67,258.011,1.18097,0.60281,1.10537,0.883,0.68235,0.76532,0.5186,1.23085,1.12197,1.19201,0.0006932,0.0006932,0.0006932
68,261.74,1.16709,0.59955,1.09662,0.8165,0.67059,0.74172,0.49628,1.27798,1.22754,1.20231,0.0006734,0.0006734,0.0006734
69,265.44,1.11961,0.57461,1.09285,0.85415,0.67059,0.72894,0.49815,1.22167,1.27758,1.17204,0.0006536,0.0006536,0.0006536
70,269.173,1.12541,0.55536,1.0793,0.848,0.67843,0.73881,0.51495,1.20699,1.24601,1.1605,0.0006338,0.0006338,0.0006338
71,272.906,1.14202,0.57505,1.08122,0.84348,0.66667,0.74345,0.48105,1.33453,1.25081,1.22022,0.000614,0.000614,0.000614
72,276.651,1.14046,0.57891,1.09606,0.84998,0.67843,0.74086,0.51608,1.20141,1.25868,1.15956,0.0005942,0.0005942,0.0005942
73,280.364,1.12436,0.57059,1.0716,0.82685,0.6549,0.72198,0.50916,1.18518,1.22739,1.14785,0.0005744,0.0005744,0.0005744
74,284.079,1.08247,0.54313,1.0747,0.83119,0.66667,0.74269,0.52226,1.19675,1.21304,1.15393,0.0005546,0.0005546,0.0005546
75,287.816,1.08011,0.55107,1.07857,0.81315,0.67451,0.73475,0.52486,1.15705,1.20056,1.13311,0.0005348,0.0005348,0.0005348
76,291.554,1.06235,0.55673,1.04938,0.80194,0.6549,0.73567,0.53851,1.13953,1.22363,1.12503,0.000515,0.000515,0.000515
77,295.291,1.05023,0.53905,1.07346,0.86653,0.67843,0.73954,0.52988,1.16016,1.28265,1.14379,0.0004952,0.0004952,0.0004952
