epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,182.804,1.47084,0.80171,1.19876,0.86689,0.68385,0.81128,0.4468,1.54498,1.01657,1.31534,0.005743,0.005743,0.005743
45,187.049,1.52159,0.80651,1.23794,0.88965,0.84656,0.91365,0.49567,1.53407,0.87046,1.3149,0.005644,0.005644,0.005644
46,191.112,1.48744,0.81963,1.22674,0.85156,0.765,0.83275,0.44655,1.51357,1.07227,1.31864,0.005545,0.005545,0.005545
47,195.071,1.48897,0.79026,1.20553,0.91441,0.80129,0.91257,0.48345,1.53833,0.86219,1.33105,0.005446,0.005446,0.005446
48,199.177,1.48459,0.77036,1.19739,0.88583,0.8147,0.89536,0.46998,1.61889,0.89619,1.36401,0.005347,0.005347,0.005347
49,203.355,1.50313,0.82384,1.21558,0.85217,0.775,0.87166,0.47052,1.5665,0.90576,1.34813,0.005248,0.005248,0.005248
50,207.478,1.45499,0.79396,1.20834,0.90588,0.81814,0.89939,0.48306,1.52114,0.85891,1.31224,0.005149,0.005149,0.005149
51,211.558,1.47519,0.78047,1.2162,0.91103,0.795,0.8922,0.4725,1.54193,0.90402,1.32016,0.00505,0.00505,0.00505
52,215.602,1.47471,0.7825,1.19647,0.94093,0.79639,0.89901,0.47274,1.57411,0.87202,1.32139,0.004951,0.004951,0.004951
53,219.571,1.48842,0.79421,1.20734,0.86766,0.85234,0.89657,0.48475,1.52709,0.84768,1.29644,0.004852,0.004852,0.004852
54,223.591,1.48061,0.76926,1.21014,0.89684,0.8259,0.9171,0.51113,1.48434,0.85628,1.27939,0.004753,0.004753,0.004753
55,227.62,1.44491,0.74572,1.17913,0.87081,0.805,0.88645,0.4805,1.51253,0.88162,1.30809,0.004654,0.004654,0.004654
56,231.837,1.44601,0.75675,1.18762,0.90618,0.855,0.93162,0.51104,1.5008,0.81437,1.28612,0.004555,0.004555,0.004555
57,236.185,1.46472,0.75429,1.19406,0.89315,0.87,0.91424,0.49713,1.58959,0.84039,1.33771,0.004456,0.004456,0.004456
58,240.246,1.46103,0.73798,1.20175,0.90257,0.885,0.93416,0.50187,1.48134,0.82139,1.29315,0.004357,0.004357,0.004357
59,244.274,1.44916,0.72825,1.20045,0.91179,0.8269,0.9108,0.51286,1.47087,0.83611,1.29614,0.004258,0.004258,0.004258
60,248.372,1.40971,0.70037,1.17893,0.91265,0.88807,0.94499,0.5104,1.51595,0.76847,1.30378,0.004159,0.004159,0.004159
61,252.467,1.41598,0.70682,1.20042,0.89559,0.73,0.84969,0.45022,1.58222,0.92854,1.34991,0.00406,0.00406,0.00406
62,256.502,1.43694,0.72775,1.18685,0.86487,0.86405,0.91027,0.50008,1.5094,0.8478,1.29926,0.003961,0.003961,0.003961
63,260.663,1.39764,0.71024,1.18418,0.91397,0.84992,0.90535,0.48737,1.49401,0.89934,1.29187,0.003862,0.003862,0.003862
64,264.713,1.40042,0.72151,1.16074,0.88685,0.86219,0.91628,0.48489,1.51991,0.85802,1.30107,0.003763,0.003763,0.003763
65,268.855,1.40233,0.71509,1.17695,0.90335,0.815,0.9014,0.47827,1.58258,0.80137,1.35714,0.003664,0.003664,0.003664
66,272.959,1.37088,0.7232,1.149,0.80362,0.81846,0.84576,0.4438,1.58489,0.96063,1.35138,0.003565,0.003565,0.003565
67,277.047,1.43087,0.74492,1.18882,0.90779,0.835,0.90079,0.49644,1.51685,0.84987,1.31516,0.003466,0.003466,0.003466
68,281.184,1.44185,0.72382,1.21584,0.89264,0.85,0.90149,0.48324,1.54733,0.85522,1.31391,0.003367,0.003367,0.003367
69,285.554,1.40399,0.71251,1.17547,0.90506,0.90566,0.94215,0.51582,1.52494,0.76574,1.30428,0.003268,0.003268,0.003268
70,289.78,1.38164,0.73258,1.16225,0.90002,0.895,0.94065,0.49822,1.49947,0.76656,1.30081,0.003169,0.003169,0.003169
71,293.787,1.37368,0.68302,1.18736,0.90498,0.85717,0.91283,0.51313,1.48896,0.81107,1.30755,0.00307,0.00307,0.00307
72,298.058,1.32573,0.67081,1.12746,0.85773,0.84406,0.88517,0.47506,1.56379,0.80875,1.33699,0.002971,0.002971,0.002971
73,302.04,1.34106,0.66398,1.14909,0.86386,0.85665,0.91347,0.5017,1.52441,0.78066,1.30106,0.002872,0.002872,0.002872
74,306.085,1.3851,0.67488,1.17337,0.89897,0.865,0.93431,0.52158,1.50748,0.7598,1.3052,0.002773,0.002773,0.002773
75,310.079,1.34933,0.66723,1.15462,0.92364,0.9,0.94724,0.53337,1.48849,0.76141,1.26919,0.002674,0.002674,0.002674
76,314.139,1.35321,0.67471,1.15522,0.90574,0.895,0.94377,0.53505,1.42838,0.75326,1.25418,0.002575,0.002575,0.002575
77,318.173,1.3297,0.65176,1.11703,0.92639,0.9,0.94701,0.52739,1.43986,0.7254,1.26287,0.002476,0.002476,0.002476
78,322.268,1.33914,0.6645,1.1595,0.93644,0.88394,0.93997,0.52129,1.44816,0.73707,1.26512,0.002377,0.002377,0.002377
79,326.334,1.31015,0.6372,1.13608,0.92635,0.885,0.93185,0.53683,1.4797,0.75635,1.28058,0.002278,0.002278,0.002278
80,330.465,1.33725,0.65328,1.13853,0.93725,0.89619,0.93959,0.54412,1.4344,0.73533,1.25894,0.002179,0.002179,0.002179
81,334.526,1.29151,0.65111,1.11569,0.93319,0.915,0.94915,0.53496,1.44385,0.73444,1.2702,0.00208,0.00208,0.00208
82,338.802,1.30749,0.64753,1.14046,0.92826,0.905,0.94352,0.52961,1.46102,0.7092,1.2677,0.001981,0.001981,0.001981
83,343.067,1.28479,0.63406,1.14427,0.92024,0.86535,0.93213,0.53695,1.40781,0.7053,1.23785,0.001882,0.001882,0.001882
84,347.215,1.30663,0.61388,1.12512,0.90501,0.90515,0.93861,0.53428,1.42374,0.69904,1.24697,0.001783,0.001783,0.001783
85,351.426,1.27535,0.62931,1.13778,0.90969,0.90663,0.9407,0.5352,1.4385,0.70223,1.26022,0.001684,0.001684,0.001684
86,355.583,1.25177,0.61309,1.08988,0.91156,0.925,0.94829,0.52674,1.46856,0.68755,1.27182,0.001585,0.001585,0.001585
87,359.642,1.27297,0.62366,1.11783,0.94002,0.86201,0.92755,0.51819,1.46213,0.69227,1.26928,0.001486,0.001486,0.001486
88,363.739,1.2839,0.62251,1.10996,0.93728,0.89665,0.94686,0.52657,1.47059,0.72332,1.28424,0.001387,0.001387,0.001387
89,367.888,1.24844,0.61993,1.0997,0.92942,0.92184,0.953,0.54165,1.43798,0.71557,1.27171,0.001288,0.001288,0.001288
90,371.964,1.23338,0.60625,1.09568,0.9029,0.92981,0.94606,0.52654,1.46254,0.71059,1.27274,0.001189,0.001189,0.001189
91,384.118,1.26137,0.60477,1.18406,0.92817,0.875,0.9341,0.51871,1.4658,0.70627,1.27402,0.00109,0.00109,0.00109
92,388.253,1.23912,0.58802,1.17363,0.89911,0.905,0.93054,0.52318,1.46174,0.68168,1.27292,0.000991,0.000991,0.000991
93,392.353,1.2513,0.58107,1.17289,0.93966,0.91,0.94688,0.51934,1.44654,0.6744,1.25982,0.000892,0.000892,0.000892
94,396.715,1.23932,0.57854,1.16273,0.91153,0.9,0.93737,0.52403,1.4207,0.67138,1.25076,0.000793,0.000793,0.000793
95,400.986,1.22479,0.56773,1.1585,0.89707,0.91516,0.94674,0.51759,1.45195,0.66639,1.26348,0.000694,0.000694,0.000694
96,405.185,1.2146,0.54065,1.15686,0.90369,0.91,0.93383,0.52437,1.43396,0.65696,1.2609,0.000595,0.000595,0.000595
97,409.228,1.19873,0.55274,1.15318,0.90472,0.92,0.93433,0.52207,1.42138,0.65675,1.24816,0.000496,0.000496,0.000496
98,413.297,1.18941,0.54775,1.1367,0.94295,0.905,0.94606,0.52781,1.41414,0.6432,1.23726,0.000397,0.000397,0.000397
99,417.296,1.1695,0.52271,1.13024,0.93258,0.895,0.95,0.53282,1.41459,0.64456,1.23685,0.000298,0.000298,0.000298
100,421.293,1.16949,0.54196,1.1372,0.92984,0.905,0.95064,0.53074,1.40731,0.64453,1.23517,0.000199,0.000199,0.000199
